BAS_ID,Æò±Õ¿µ¾÷±â°£,Æò±ÕÆó¾÷±â°£,open_15cluster,close_15cluster,kind
21300,163.10648228067743,199.05679103666668,12.0,0.0,HH
21301,156.24961498125,52.89636337333334,12.0,0.0,HH
21302,111.95073015532913,93.78700452266666,5.0,0.0,HH
21303,153.72800261,161.2932719863158,5.0,0.0,HH
21304,177.3294508969921,100.92290281897222,5.0,0.0,HH
21305,177.9364428262561,156.26319276812245,5.0,0.0,HH
21306,150.92760692058823,147.10475668,5.0,0.0,HH
21307,124.11845098361906,145.57489320081035,5.0,0.0,HH
21308,196.3243598466429,220.0291587,5.0,0.0,HH
21309,136.4427817205946,113.36451387703846,5.0,0.0,HH
21310,151.05241192792957,131.27792046120692,5.0,0.0,HH
21311,191.914765043391,151.39968650783334,5.0,0.0,HH
21312,152.14391641203414,144.3455864445238,5.0,0.0,HH
21313,123.91952448576151,115.38975168672414,5.0,0.0,HH
21314,142.47246693102778,151.12972887833334,5.0,0.0,HH
21315,85.26359580087038,74.67569311578947,5.0,0.0,LH
21316,148.64696872903968,150.6611691448276,5.0,6.0,HH
21317,157.46165717407766,83.56123475462857,0.0,6.0,HH
21318,129.5646675208923,104.73041883126984,1.0,1.0,HH
21319,128.94125324629357,67.6777757225,7.0,1.0,HH
21320,96.22976515693334,46.66214912,6.0,1.0,LL
21321,117.70222156278048,76.45480866418183,7.0,1.0,HH
21322,201.4661492,0.0,13.0,,Not defined
21323,96.2450104007351,89.749686845,0.0,1.0,LH
21324,128.16690281181818,110.35955565,1.0,1.0,HH
21325,106.42592998154544,37.37243064575,7.0,1.0,HL
21326,118.64367998428573,77.47181667,6.0,1.0,HH
21327,89.85810797,0.0,1.0,,Not defined
21328,106.4333969837857,86.18931257000001,9.0,1.0,HH
21329,136.88621086132375,105.83977819011112,9.0,6.0,HH
21330,104.6747219831143,149.62661793666666,9.0,6.0,HH
21331,180.85454104417647,172.488141455,9.0,6.0,HH
21332,183.01578500571424,93.521427537,9.0,6.0,HH
21333,165.10552730803704,114.60252924714284,9.0,6.0,HH
21334,100.5698268969375,85.409009085,5.0,0.0,LH
21335,144.21233722110168,96.46193967822222,9.0,6.0,HH
21336,142.98243369572307,69.67790806422221,9.0,6.0,HH
21337,101.86813941927824,89.84644978451612,9.0,6.0,HH
21338,135.61847164203704,50.533798530000006,9.0,6.0,HH
21339,82.10435533,0.0,9.0,,Not defined
21340,105.03432650533334,56.773239675,9.0,1.0,HH
21341,126.380418493125,97.19569874,1.0,1.0,HH
21342,124.031294280625,128.5611614,7.0,1.0,HH
21343,97.24224317166666,88.51105774,1.0,1.0,LH
21344,85.48915048859342,66.05423428140374,9.0,1.0,LH
21345,114.55506234765092,111.6425388628,9.0,1.0,HH
21346,132.14508168975,150.6724984,1.0,1.0,HH
21347,137.8408409,19.89910812633333,9.0,1.0,HL
21348,107.3510678929138,78.0237787175,9.0,1.0,HH
21349,138.3328956273158,178.66485963825,9.0,1.0,HH
21350,127.27290412373684,114.039302635,9.0,1.0,HH
21351,115.55676842449066,79.59198340279687,9.0,1.0,HH
21352,131.94824058823684,108.7464868171129,9.0,1.0,HH
21353,120.03106003682716,82.93120324444445,9.0,1.0,HH
21354,98.50849005742737,102.29641950254168,9.0,6.0,LH
21355,126.5757191919927,91.638168739,9.0,6.0,HH
21356,126.78601693599254,124.54253973631428,9.0,6.0,HH
21357,41.18137727467568,34.60714457,9.0,6.0,LL
21358,114.21938461310376,78.24226370285001,9.0,6.0,HH
21359,117.8660992035534,66.22680028978948,9.0,6.0,HH
21360,105.63474787436526,105.5361790372766,9.0,6.0,HH
21361,136.90777309155223,81.92461977941176,5.0,0.0,HH
21362,124.7301976926859,65.989034682625,5.0,0.0,HH
21363,137.17631943033615,112.4951231055652,9.0,6.0,HH
21364,121.60868659564288,73.6106095986923,9.0,6.0,HH
21365,177.721194364,127.793178497125,9.0,6.0,HH
21366,41.90701307081481,72.34645474,9.0,6.0,LH
21367,177.37804337166668,208.9242078942857,5.0,0.0,HH
21368,166.06501160789998,158.7953853382353,5.0,0.0,HH
21369,226.75869604726088,244.492905404,5.0,0.0,HH
21370,138.62543378790002,82.573284124,0.0,10.0,HH
21371,155.17361752792684,136.19992197388888,0.0,0.0,HH
21372,0.0,0.0,7.0,,Not defined
21373,252.7471474366667,0.0,14.0,12.0,Not defined
21374,192.4609241527273,188.3241956,0.0,10.0,HH
21375,0.0,0.0,9.0,6.0,Not defined
21376,117.1809093312184,89.94621879570455,9.0,6.0,HH
21377,126.06302279656344,82.20776742245901,9.0,6.0,HH
21378,141.1383662366757,167.88141733592855,1.0,14.0,HH
21379,127.2014072844,83.98227133315788,1.0,,HH
21380,132.93774993087098,58.49908742952941,7.0,9.0,HH
21381,183.0290834,0.0,7.0,7.0,Not defined
21382,134.1096020204386,84.04279348710526,1.0,9.0,HH
21383,119.77482670631429,54.690240047066666,7.0,7.0,HH
21384,123.16950202792106,40.65671704797561,3.0,,HL
21385,144.77778463675,141.96595413333333,11.0,10.0,HH
21386,132.306618215,0.0,11.0,10.0,Not defined
21387,123.20403938154054,65.16127413055555,11.0,14.0,HH
21388,126.84314405365728,91.7757956808684,11.0,10.0,HH
21389,133.31183785059878,84.36172626470731,11.0,10.0,HH
21390,143.0619930554,119.16466456545454,11.0,10.0,HH
21391,133.49152746644154,100.46089148031191,11.0,10.0,HH
21392,123.48524131590293,95.15279890165384,11.0,14.0,HH
21393,106.36413757522614,127.50925754781666,11.0,14.0,HH
21394,116.44624292840584,91.64468355302223,11.0,14.0,HH
21395,126.34015832127756,106.3059025940708,9.0,10.0,HH
21396,123.72195494682796,103.8793208867143,9.0,10.0,HH
21397,136.3451579641126,131.30920277280595,3.0,14.0,HH
21398,132.59677870403158,99.84833950917856,3.0,14.0,HH
21399,131.54947592418918,98.52084574416666,1.0,14.0,HH
21400,99.48196061394664,126.74252338892684,1.0,14.0,LH
21401,70.69414520064556,113.20854344282856,3.0,4.0,LH
21402,127.24837916556989,83.73193573896154,11.0,4.0,HH
21403,82.34932595098246,96.8509414952,3.0,2.0,LH
21404,95.25176363094788,65.88349611689151,3.0,4.0,LH
21405,139.7007923952068,94.33497705584524,11.0,4.0,HH
21406,130.53187806794736,87.05084065438888,11.0,13.0,HH
21407,105.06233740738462,110.55475229629413,11.0,13.0,HH
21408,151.2711071770879,121.35499017611112,3.0,2.0,HH
21409,140.1974768061154,68.78916684372727,3.0,2.0,HH
21410,154.62760064466667,157.4260023578889,1.0,2.0,HH
21411,184.38160946666667,57.72603134,1.0,2.0,HH
21412,133.08020138327274,158.748228902,3.0,4.0,HH
21413,80.35331168985185,129.77131632333334,1.0,4.0,LH
21414,126.91431035575,101.31272862592856,1.0,4.0,HH
21415,136.7619396119697,103.85428858842106,10.0,11.0,HH
21416,126.50669145162026,87.03258793255556,7.0,4.0,HH
21417,118.88241124581818,55.98472247428572,1.0,4.0,HH
21418,156.9679996526923,88.63882671777779,1.0,4.0,HH
21419,147.48300786442186,117.08883326413635,1.0,4.0,HH
21420,154.5854612477869,59.259259261,1.0,4.0,HH
21421,169.26067335106384,105.8025832195,1.0,4.0,HH
21422,134.11232263396,95.338302628,11.0,13.0,HH
21423,145.6851270138,41.627138135,3.0,4.0,HL
21424,135.88659488836697,91.11501789176924,3.0,4.0,HH
21425,132.3304644925887,105.8803397766,1.0,4.0,HH
21426,161.9624995295147,102.97616714072728,3.0,13.0,HH
21427,156.68494219570587,112.94314424872728,3.0,13.0,HH
21428,101.95418112375,116.85387107333334,3.0,13.0,HH
21429,85.8279088582,196.649623198,3.0,13.0,LH
21430,137.83129333038465,161.83846544285714,1.0,2.0,HH
21431,79.667618092,175.313661455,10.0,2.0,LH
21432,131.00063656658332,122.8951873118182,10.0,7.0,HH
21433,87.2933735846875,120.25982736916666,10.0,2.0,LH
21434,141.798394224,66.64065654033334,10.0,2.0,HH
21435,134.45664181784,103.0205959025,2.0,7.0,HH
21436,163.19193845736842,173.72169299454546,2.0,2.0,HH
21437,114.50706710845763,121.76841414166668,2.0,9.0,HH
21438,135.7250367196207,102.32354966845456,10.0,7.0,HH
21439,137.8197785022135,101.40594262716,10.0,7.0,HH
21440,136.6550884762923,143.27921077699995,2.0,12.0,HH
21441,102.37195352294118,88.22800025776922,2.0,12.0,HH
21442,160.22804276588636,127.21880472214286,2.0,7.0,HH
21443,191.45120747352945,183.3442712752,2.0,7.0,HH
21444,151.93248321000002,101.95965694666666,2.0,9.0,HH
21445,152.75678946797686,112.20827469046154,2.0,3.0,HH
21446,148.70584790326086,123.43013486027588,4.0,3.0,HH
21447,138.84063328358334,232.56877280666663,4.0,5.0,HH
21448,120.71683584810812,127.89541771678948,8.0,3.0,HH
21449,70.01000313625714,58.52052217218181,8.0,3.0,LH
21450,163.38653064039343,122.94954721606666,2.0,8.0,HH
21451,119.77988838586276,86.8786887458421,8.0,8.0,HH
21452,162.7139913370686,93.05617892198214,8.0,8.0,HH
21453,150.44221553922728,84.765600932,4.0,5.0,HH
21454,180.99025533111111,59.894453685,1.0,13.0,HH
21455,184.38024052083333,192.6281854,7.0,4.0,HH
21456,55.40647651959999,60.770583919,3.0,4.0,LH
21457,123.1924299884074,71.82807769477778,1.0,,HH
21458,122.10965691112727,122.64258872857144,,,HH
21459,165.177929745,0.0,,,Not defined
21460,0.0,0.0,,,Not defined
